z,locations,text
6.329581261,GTM,Guatemala
6.414494514,GTM,Guatemala
6.451916218,GTM,Guatemala
6.289748669,GTM,Guatemala
5.743353844,GTM,Guatemala
5.855717182,GTM,Guatemala
5.984601498,GTM,Guatemala
6.536030769,GTM,Guatemala
6.464986801,GTM,Guatemala
6.358916283,GTM,Guatemala
4.044569492,GIN,Guinea
3.651554823,GIN,Guinea
3.901793003,GIN,Guinea
3.4124825,GIN,Guinea
3.504693508,GIN,Guinea
3.602854729,GIN,Guinea
5.992826462,GUY,Guyana
3.754156113,HTI,Haiti
3.846329212,HTI,Haiti
3.76599884,HTI,Haiti
4.844573975,HTI,Haiti
4.413475037,HTI,Haiti
4.62196207,HTI,Haiti
3.888778448,HTI,Haiti
3.569762468,HTI,Haiti
3.352300167,HTI,Haiti
5.396519661,HND,Honduras
5.09715414,HND,Honduras
5.420331001,HND,Honduras
6.033189297,HND,Honduras
5.866131306,HND,Honduras
4.961031437,HND,Honduras
4.602218151,HND,Honduras
4.713358402,HND,Honduras
5.055726051,HND,Honduras
4.845436573,HND,Honduras
5.648154736,HND,Honduras
5.193933487,HUN,Hungary
4.953917027,HUN,Hungary
4.894600391,HUN,Hungary
4.725132465,HUN,Hungary
4.917602539,HUN,Hungary
4.683358192,HUN,Hungary
4.914466858,HUN,Hungary
5.18056345,HUN,Hungary
5.34438324,HUN,Hungary
5.448901653,HUN,Hungary
6.888284206,ISL,Iceland
7.590660095,ISL,Iceland
7.501394272,ISL,Iceland
7.498070717,ISL,Iceland
7.510034561,ISL,Iceland
5.348258972,IND,India
5.02679348,IND,India
5.145833015,IND,India
4.521517754,IND,India
4.989277363,IND,India
4.634871483,IND,India
4.720146656,IND,India
4.427788734,IND,India
4.424379349,IND,India
4.342079163,IND,India
4.179177284,IND,India
4.946978092,IDN,Indonesia
5.101213932,IDN,Indonesia
4.815309525,IDN,Indonesia
5.472361088,IDN,Indonesia
5.457299232,IDN,Indonesia
5.172608376,IDN,Indonesia
5.36777401,IDN,Indonesia
5.292237759,IDN,Indonesia
5.597375393,IDN,Indonesia
5.04279995,IDN,Indonesia
5.136325359,IDN,Indonesia
5.308190346,IRN,Iran
5.336371422,IRN,Iran
5.128988266,IRN,Iran
4.767507076,IRN,Iran
4.608927727,IRN,Iran
5.139579296,IRN,Iran
4.682224274,IRN,Iran
4.749955654,IRN,Iran
4.652730942,IRN,Iran
4.589844704,IRQ,Iraq
4.775316715,IRQ,Iraq
5.065462112,IRQ,Iraq
4.725366116,IRQ,Iraq
4.659508705,IRQ,Iraq
4.725017071,IRQ,Iraq
4.541502476,IRQ,Iraq
4.493377209,IRQ,Iraq
4.412537098,IRQ,Iraq
7.144246578,IRL,Ireland
7.568029881,IRL,Ireland
7.045911312,IRL,Ireland
7.257389545,IRL,Ireland
7.006904125,IRL,Ireland
6.964645386,IRL,Ireland
6.760085106,IRL,Ireland
7.018379211,IRL,Ireland
6.830125332,IRL,Ireland
7.04073143,IRL,Ireland
7.173417091,ISR,Israel
6.841114998,ISR,Israel
7.261261463,ISR,Israel
7.352979183,ISR,Israel
7.358916283,ISR,Israel
7.433147907,ISR,Israel
7.110854626,ISR,Israel
7.320563316,ISR,Israel
7.400570393,ISR,Israel
7.07941103,ISR,Israel
7.159010887,ISR,Israel
6.853783607,ITA,Italy
6.574412346,ITA,Italy
6.779774189,ITA,Italy
6.333800316,ITA,Italy
6.354238033,ITA,Italy
6.057086468,ITA,Italy
5.839313984,ITA,Italy
6.009373665,ITA,Italy
6.026585102,ITA,Italy
5.847683907,ITA,Italy
5.95452404,ITA,Italy
6.207881927,JAM,Jamaica
5.374446392,JAM,Jamaica
5.708886623,JAM,Jamaica
5.310538769,JAM,Jamaica
6.515817165,JPN,Japan
6.238197804,JPN,Japan
5.91067934,JPN,Japan
5.844999313,JPN,Japan
6.056752682,JPN,Japan
6.262793541,JPN,Japan
5.968216419,JPN,Japan
5.959361553,JPN,Japan
5.922620773,JPN,Japan
5.879684448,JPN,Japan
5.954650879,JPN,Japan
6.294660091,JOR,Jordan
5.59805727,JOR,Jordan
4.930058002,JOR,Jordan
5.999859333,JOR,Jordan
5.569942474,JOR,Jordan
5.539327621,JOR,Jordan
5.131996155,JOR,Jordan
5.171952724,JOR,Jordan
5.333021641,JOR,Jordan
5.404593468,JOR,Jordan
5.27128458,JOR,Jordan
5.475948334,KAZ,Kazakhstan
5.718553543,KAZ,Kazakhstan
5.886419773,KAZ,Kazakhstan
5.382563114,KAZ,Kazakhstan
5.514286518,KAZ,Kazakhstan
5.735662937,KAZ,Kazakhstan
5.759469509,KAZ,Kazakhstan
5.835483074,KAZ,Kazakhstan
5.970097542,KAZ,Kazakhstan
5.949995041,KAZ,Kazakhstan
5.533551693,KAZ,Kazakhstan
4.223234177,KEN,Kenya
4.575657845,KEN,Kenya
4.015274525,KEN,Kenya
4.270434856,KEN,Kenya
4.255859375,KEN,Kenya
4.405310154,KEN,Kenya
4.547335148,KEN,Kenya
3.795383215,KEN,Kenya
4.904579639,KEN,Kenya
4.357617855,KEN,Kenya
4.396127701,KEN,Kenya
5.103906155,KSV,Kosovo
5.521659851,KSV,Kosovo
5.891432762,KSV,Kosovo
5.17660141,KSV,Kosovo
4.859501839,KSV,Kosovo
5.639588356,KSV,Kosovo
6.125758171,KSV,Kosovo
5.000375271,KSV,Kosovo
5.077460766,KSV,Kosovo
5.759412289,KSV,Kosovo
6.075547218,KWT,Kuwait
6.585246086,KWT,Kuwait
6.798151016,KWT,Kuwait
6.377699375,KWT,Kuwait
6.221094608,KWT,Kuwait
6.480031013,KWT,Kuwait
6.180138588,KWT,Kuwait
6.146031857,KWT,Kuwait
5.947194576,KWT,Kuwait
4.641398907,KGZ,Kyrgyzstan
4.697761536,KGZ,Kyrgyzstan
4.736588001,KGZ,Kyrgyzstan
5.06905365,KGZ,Kyrgyzstan
4.996410847,KGZ,Kyrgyzstan
4.921049118,KGZ,Kyrgyzstan
5.207785606,KGZ,Kyrgyzstan
5.40242672,KGZ,Kyrgyzstan
5.252192974,KGZ,Kyrgyzstan
4.905375957,KGZ,Kyrgyzstan
4.856534004,KGZ,Kyrgyzstan
5.076225758,LAO,Laos
5.363854885,LAO,Laos
5.044098854,LAO,Laos
4.703749657,LAO,Laos
4.876084805,LAO,Laos
4.70950222,LVA,Latvia
4.666971684,LVA,Latvia
5.145375252,LVA,Latvia
4.668910503,LVA,Latvia
4.966811657,LVA,Latvia
5.125025272,LVA,Latvia
5.069770336,LVA,Latvia
5.729115486,LVA,Latvia
5.880597591,LVA,Latvia
5.940446377,LVA,Latvia
5.49124527,LBN,Lebanon
4.653103828,LBN,Lebanon
4.594851017,LBN,Lebanon
5.205998898,LBN,Lebanon
5.031899452,LBN,Lebanon
5.187571526,LBN,Lebanon
4.572566986,LBN,Lebanon
4.983288765,LBN,Lebanon
5.233025551,LBN,Lebanon
5.171971321,LBN,Lebanon
5.27072382,LBN,Lebanon
4.89751482,LSO,Lesotho
3.808204889,LSO,Lesotho
3.701401234,LBR,Liberia
4.221354008,LBR,Liberia
4.196063042,LBR,Liberia
4.571419239,LBR,Liberia
2.701591253,LBR,Liberia
3.354676008,LBR,Liberia
5.754394054,LBY,Libya
5.615404606,LBY,Libya
5.43358326,LBY,Libya
5.954442978,LTU,Lithuania
